src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.64.1,239.255.255.250,57770,1900,17,2026-02-06 14:59:50,3.036365032196045,349.10163592331884,1.6467058298269757,1.6467058298269757,0.0,5,0,1060,0,212,212,212.0,0.0,0,0,0,0.0,212,212,212.0,0.0,0.0,100,0,20,5,0.7590912580490112,1.0146369934082031,0.0,0.43826840765494623,3.036365032196045,1.0146369934082031,0.0,0.7590912580490112,0.43826840765494623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,212.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.0,0,0,5,0,1060,0
192.168.64.139,192.168.64.254,68,67,17,2026-02-06 15:00:13,0.00047588348388671875,2105557.4188376754,6304.064128256513,4202.709418837675,2101.3547094188375,2,1,660,342,330,330,330.0,0.0,342,342,342.0,0.0,342,330,334.0,5.656854249492381,32.0,40,20,20,2,0.00023794174194335938,0.00047588348388671875,0.0,0.00023794174194335938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,334.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.0,342.0,0,2,1,660,342
192.168.64.137,160.25.232.6,59366,123,17,2026-02-06 15:00:19,0.022457122802734375,12022.911499915068,133.58790555461186,89.05860370307457,44.529301851537284,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.011228561401367188,0.022457122802734375,0.0,0.011228561401367188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.1,192.168.64.255,57621,57621,17,2026-02-06 14:59:24,60.013128995895386,5.732079059292642,0.06665208208479816,0.06665208208479816,0.0,4,0,344,0,86,86,86.0,0.0,0,0,0,0.0,86,86,86.0,0.0,0.0,80,0,20,4,20.00437633196513,30.006975889205933,0.0,14.145230161728433,60.013128995895386,30.006975889205933,0.0,20.00437633196513,14.145230161728433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,0,0,4,0,344,0
192.168.64.137,160.25.232.6,35326,123,17,2026-02-06 15:00:52,0.026688098907470703,10116.868981043077,112.40965534492308,74.93977022994872,37.46988511497436,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.013344049453735352,0.026688098907470703,0.0,0.013344049453735352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
34.107.243.93,192.168.64.137,443,60024,6,2026-02-06 15:01:23,0.0009069442749023438,321960.2439537329,4410.414300736067,3307.8107255520504,1102.6035751840168,3,1,210,82,78,54,70.0,11.313708498984761,82,82,82.0,0.0,82,54,73.0,11.090536506409418,123.0,60,20,20,2,0.00030231475830078125,0.0007979869842529297,0.0,0.00035330453292844826,0.0009069442749023438,0.0009069442749023438,0.0,0.0004534721374511719,0.0004534721374511719,0,0,0,0,0,2,1,0,0,0,0,0,3,4,0,0,0.3333333333333333,73.0,64240,62926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,82.0,0,3,1,210,82
192.168.64.137,160.25.232.6,37718,123,17,2026-02-06 15:01:25,0.02798295021057129,9648.732459167242,107.20813843519157,71.47209229012772,35.73604614506386,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.013991475105285645,0.02798295021057129,0.0,0.013991475105285645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.138,185.125.190.57,54304,123,17,2026-02-06 15:01:45,0.2638208866119385,1023.4216231603775,11.37135136844864,7.580900912299093,3.7904504561495465,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.13191044330596924,0.2638208866119385,0.0,0.13191044330596924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.137,160.25.232.6,60107,123,17,2026-02-06 15:01:58,0.025966167449951172,10398.145992103571,115.53495546781747,77.02330364521164,38.51165182260582,2,1,180,90,90,90,90.0,0.0,90,90,90.0,0.0,90,90,90.0,0.0,0.0,40,20,20,2,0.012983083724975586,0.025966167449951172,0.0,0.012983083724975586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,90.0,0,2,1,180,90
192.168.64.1,224.0.0.251,5353,5353,17,2026-02-06 15:02:06,0.0,0,0,0,0,2,0,166,0,83,83,83.0,0.0,0,0,0,0.0,83,83,83.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,0,0,2,0,166,0
